# file...... output/s_in.csv
# date...... Fri Apr 22 11:04:33 2022
# user...... nathangray
# host...... (null)
# target.... meter 418
# trigger... (none)
# interval.. 1
# limit..... 0
# timestamp,measured_power.real,measured_power.imag,measured_power_A.real,measured_power_A.imag,measured_power_B.real,measured_power_B.imag,measured_power_C.real,measured_power_C.imag
2001-08-01 12:03:17 PDT,+2628796.8706,+2177999.4444,+1096897.90186,+829181.703869,+687962.925273,+651347.02904,+843936.043466,+697470.711488
2001-08-01 12:03:18 PDT,+2628796.8706,+2177999.4444,+1096897.90186,+829181.703869,+687962.925273,+651347.02904,+843936.043466,+697470.711488
2001-08-01 12:03:19 PDT,+2628796.8706,+2177999.4444,+1096897.90186,+829181.703869,+687962.925273,+651347.02904,+843936.043466,+697470.711488
2001-08-01 12:03:20 PDT,+2628796.8706,+2177999.4444,+1096897.90186,+829181.703869,+687962.925273,+651347.02904,+843936.043466,+697470.711488
2001-08-01 12:03:21 PDT,+2628796.8706,+2177999.4444,+1096897.90186,+829181.703869,+687962.925273,+651347.02904,+843936.043466,+697470.711488
2001-08-01 12:03:22 PDT,+2628796.8706,+2177999.4444,+1096897.90186,+829181.703869,+687962.925273,+651347.02904,+843936.043466,+697470.711488
2001-08-01 12:03:23 PDT,+2628796.8706,+2177999.4444,+1096897.90186,+829181.703869,+687962.925273,+651347.02904,+843936.043466,+697470.711488
2001-08-01 12:03:24 PDT,+2628796.8706,+2177999.4444,+1096897.90186,+829181.703869,+687962.925273,+651347.02904,+843936.043466,+697470.711488
2001-08-01 12:03:25 PDT,+2628796.8706,+2177999.4444,+1096897.90186,+829181.703869,+687962.925273,+651347.02904,+843936.043466,+697470.711488
2001-08-01 12:03:26 PDT,+2628796.8706,+2177999.4444,+1096897.90186,+829181.703869,+687962.925273,+651347.02904,+843936.043466,+697470.711488
2001-08-01 12:03:27 PDT,+2628796.8706,+2177999.4444,+1096897.90186,+829181.703869,+687962.925273,+651347.02904,+843936.043466,+697470.711488
2001-08-01 12:03:28 PDT,+2628796.8706,+2177999.4444,+1096897.90186,+829181.703869,+687962.925273,+651347.02904,+843936.043466,+697470.711488
2001-08-01 12:03:29 PDT,+2628796.8706,+2177999.4444,+1096897.90186,+829181.703869,+687962.925273,+651347.02904,+843936.043466,+697470.711488
2001-08-01 12:03:30 PDT,+2628796.8706,+2177999.4444,+1096897.90186,+829181.703869,+687962.925273,+651347.02904,+843936.043466,+697470.711488
2001-08-01 12:03:31 PDT,+2628796.8706,+2177999.4444,+1096897.90186,+829181.703869,+687962.925273,+651347.02904,+843936.043466,+697470.711488
2001-08-01 12:03:32 PDT,+2628796.8706,+2177999.4444,+1096897.90186,+829181.703869,+687962.925273,+651347.02904,+843936.043466,+697470.711488
2001-08-01 12:03:33 PDT,+2628796.8706,+2177999.4444,+1096897.90186,+829181.703869,+687962.925273,+651347.02904,+843936.043466,+697470.711488
2001-08-01 12:03:34 PDT,+2628796.8706,+2177999.4444,+1096897.90186,+829181.703869,+687962.925273,+651347.02904,+843936.043466,+697470.711488
2001-08-01 12:03:35 PDT,+2628796.8706,+2177999.4444,+1096897.90186,+829181.703869,+687962.925273,+651347.02904,+843936.043466,+697470.711488
2001-08-01 12:03:36 PDT,+2628796.8706,+2177999.4444,+1096897.90186,+829181.703869,+687962.925273,+651347.02904,+843936.043466,+697470.711488
2001-08-01 12:03:37 PDT,+2628796.8706,+2177999.4444,+1096897.90186,+829181.703869,+687962.925273,+651347.02904,+843936.043466,+697470.711488
2001-08-01 12:03:38 PDT,+2628796.8706,+2177999.4444,+1096897.90186,+829181.703869,+687962.925273,+651347.02904,+843936.043466,+697470.711488
2001-08-01 12:03:39 PDT,+2628796.8706,+2177999.4444,+1096897.90186,+829181.703869,+687962.925273,+651347.02904,+843936.043466,+697470.711488
2001-08-01 12:03:40 PDT,+2628796.8706,+2177999.4444,+1096897.90186,+829181.703869,+687962.925273,+651347.02904,+843936.043466,+697470.711488
2001-08-01 12:03:41 PDT,+2628796.8706,+2177999.4444,+1096897.90186,+829181.703869,+687962.925273,+651347.02904,+843936.043466,+697470.711488
2001-08-01 12:03:42 PDT,+2628796.8706,+2177999.4444,+1096897.90186,+829181.703869,+687962.925273,+651347.02904,+843936.043466,+697470.711488
2001-08-01 12:03:43 PDT,+2628796.8706,+2177999.4444,+1096897.90186,+829181.703869,+687962.925273,+651347.02904,+843936.043466,+697470.711488
2001-08-01 12:03:44 PDT,+2628796.8706,+2177999.4444,+1096897.90186,+829181.703869,+687962.925273,+651347.02904,+843936.043466,+697470.711488
2001-08-01 12:03:45 PDT,+2628796.8706,+2177999.4444,+1096897.90186,+829181.703869,+687962.925273,+651347.02904,+843936.043466,+697470.711488
2001-08-01 12:03:46 PDT,+2628796.8706,+2177999.4444,+1096897.90186,+829181.703869,+687962.925273,+651347.02904,+843936.043466,+697470.711488
2001-08-01 12:03:47 PDT,+2628796.8706,+2177999.4444,+1096897.90186,+829181.703869,+687962.925273,+651347.02904,+843936.043466,+697470.711488
2001-08-01 12:03:48 PDT,+2628796.8706,+2177999.4444,+1096897.90186,+829181.703869,+687962.925273,+651347.02904,+843936.043466,+697470.711488
2001-08-01 12:03:49 PDT,+2628796.8706,+2177999.4444,+1096897.90186,+829181.703869,+687962.925273,+651347.02904,+843936.043466,+697470.711488
2001-08-01 12:03:50 PDT,+2628796.8706,+2177999.4444,+1096897.90186,+829181.703869,+687962.925273,+651347.02904,+843936.043466,+697470.711488
2001-08-01 12:03:51 PDT,+2628796.8706,+2177999.4444,+1096897.90186,+829181.703869,+687962.925273,+651347.02904,+843936.043466,+697470.711488
2001-08-01 12:03:52 PDT,+2628796.8706,+2177999.4444,+1096897.90186,+829181.703869,+687962.925273,+651347.02904,+843936.043466,+697470.711488
2001-08-01 12:03:53 PDT,+2628796.8706,+2177999.4444,+1096897.90186,+829181.703869,+687962.925273,+651347.02904,+843936.043466,+697470.711488
2001-08-01 12:03:54 PDT,+2628796.8706,+2177999.4444,+1096897.90186,+829181.703869,+687962.925273,+651347.02904,+843936.043466,+697470.711488
2001-08-01 12:03:55 PDT,+2628796.8706,+2177999.4444,+1096897.90186,+829181.703869,+687962.925273,+651347.02904,+843936.043466,+697470.711488
2001-08-01 12:03:56 PDT,+2628796.8706,+2177999.4444,+1096897.90186,+829181.703869,+687962.925273,+651347.02904,+843936.043466,+697470.711488
